name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Terrado Suites Antofagasta,hola@terrado.cl,+56 55 271 2801 /,Terrado Suites Antofagasta,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,terrado.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/antofagasta/terrado-suites-antofagasta.html"", ""vertical"": ""Tourism""}"
Hampton by Hilton Antofagasta,info@hilton.com,,Hampton by Hilton Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hilton.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hilton.com"", ""page"": ""companies/antofagasta/hampton-by-hilton-antofagasta.html"", ""vertical"": ""Tourism""}"
Hampton by Hilton Antofagasta,contacto@hilton.com,,Hampton by Hilton Antofagasta,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hilton.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hilton.com"", ""page"": ""companies/antofagasta/hampton-by-hilton-antofagasta.html"", ""vertical"": ""Tourism""}"
Hampton by Hilton Antofagasta,ventas@hilton.com,,Hampton by Hilton Antofagasta,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,hilton.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hilton.com"", ""page"": ""companies/antofagasta/hampton-by-hilton-antofagasta.html"", ""vertical"": ""Tourism""}"
Hampton by Hilton Antofagasta,admin@hilton.com,,Hampton by Hilton Antofagasta,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hilton.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hilton.com"", ""page"": ""companies/antofagasta/hampton-by-hilton-antofagasta.html"", ""vertical"": ""Tourism""}"
Hampton by Hilton Antofagasta,hola@hilton.com,,Hampton by Hilton Antofagasta,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,hilton.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hilton.com"", ""page"": ""companies/antofagasta/hampton-by-hilton-antofagasta.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta Centro,info@hotelantofagastacentro.cl,+56 55 225287 / +56 55 226810,Hotel Antofagasta Centro,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagastacentro.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagastacentro.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta-centro.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta Centro,contacto@hotelantofagastacentro.cl,+56 55 225287 / +56 55 226810,Hotel Antofagasta Centro,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagastacentro.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagastacentro.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta-centro.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta Centro,ventas@hotelantofagastacentro.cl,+56 55 225287 / +56 55 226810,Hotel Antofagasta Centro,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagastacentro.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagastacentro.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta-centro.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta Centro,admin@hotelantofagastacentro.cl,+56 55 225287 / +56 55 226810,Hotel Antofagasta Centro,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagastacentro.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagastacentro.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta-centro.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta Centro,hola@hotelantofagastacentro.cl,+56 55 225287 / +56 55 226810,Hotel Antofagasta Centro,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagastacentro.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagastacentro.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta-centro.html"", ""vertical"": ""Tourism""}"
Alto Antofagasta Apart Hotel,info@altoantofagasta.com,,Alto Antofagasta Apart Hotel,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,altoantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""altoantofagasta.com"", ""page"": ""companies/antofagasta/alto-antofagasta-apart-hotel.html"", ""vertical"": ""Tourism""}"
Alto Antofagasta Apart Hotel,contacto@altoantofagasta.com,,Alto Antofagasta Apart Hotel,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,altoantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""altoantofagasta.com"", ""page"": ""companies/antofagasta/alto-antofagasta-apart-hotel.html"", ""vertical"": ""Tourism""}"
Alto Antofagasta Apart Hotel,ventas@altoantofagasta.com,,Alto Antofagasta Apart Hotel,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,altoantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""altoantofagasta.com"", ""page"": ""companies/antofagasta/alto-antofagasta-apart-hotel.html"", ""vertical"": ""Tourism""}"
Alto Antofagasta Apart Hotel,admin@altoantofagasta.com,,Alto Antofagasta Apart Hotel,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,altoantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""altoantofagasta.com"", ""page"": ""companies/antofagasta/alto-antofagasta-apart-hotel.html"", ""vertical"": ""Tourism""}"
Alto Antofagasta Apart Hotel,hola@altoantofagasta.com,,Alto Antofagasta Apart Hotel,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,altoantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""altoantofagasta.com"", ""page"": ""companies/antofagasta/alto-antofagasta-apart-hotel.html"", ""vertical"": ""Tourism""}"
Hostal La Ruca,info@hostallaruca.cl,+56 9 4022 8898,Hostal La Ruca,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hostallaruca.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostallaruca.cl"", ""page"": ""companies/antofagasta/hostal-la-ruca.html"", ""vertical"": ""Tourism""}"
Hostal La Ruca,contacto@hostallaruca.cl,+56 9 4022 8898,Hostal La Ruca,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hostallaruca.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostallaruca.cl"", ""page"": ""companies/antofagasta/hostal-la-ruca.html"", ""vertical"": ""Tourism""}"
Hostal La Ruca,ventas@hostallaruca.cl,+56 9 4022 8898,Hostal La Ruca,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,hostallaruca.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostallaruca.cl"", ""page"": ""companies/antofagasta/hostal-la-ruca.html"", ""vertical"": ""Tourism""}"
Hostal La Ruca,admin@hostallaruca.cl,+56 9 4022 8898,Hostal La Ruca,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hostallaruca.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostallaruca.cl"", ""page"": ""companies/antofagasta/hostal-la-ruca.html"", ""vertical"": ""Tourism""}"
Hostal La Ruca,hola@hostallaruca.cl,+56 9 4022 8898,Hostal La Ruca,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,hostallaruca.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostallaruca.cl"", ""page"": ""companies/antofagasta/hostal-la-ruca.html"", ""vertical"": ""Tourism""}"
Hostal Pampaloja,info@gmail.com,+56 9 9866 8651 / 55-2244128,Hostal Pampaloja,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hostalpampaloja.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostalpampaloja.cl"", ""page"": ""companies/antofagasta/hostal-pampaloja.html"", ""vertical"": ""Tourism""}"
Hostal Pampaloja,contacto@gmail.com,+56 9 9866 8651 / 55-2244128,Hostal Pampaloja,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hostalpampaloja.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostalpampaloja.cl"", ""page"": ""companies/antofagasta/hostal-pampaloja.html"", ""vertical"": ""Tourism""}"
Hostal Pampaloja,ventas@gmail.com,+56 9 9866 8651 / 55-2244128,Hostal Pampaloja,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,hostalpampaloja.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostalpampaloja.cl"", ""page"": ""companies/antofagasta/hostal-pampaloja.html"", ""vertical"": ""Tourism""}"
Hostal Pampaloja,admin@gmail.com,+56 9 9866 8651 / 55-2244128,Hostal Pampaloja,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hostalpampaloja.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostalpampaloja.cl"", ""page"": ""companies/antofagasta/hostal-pampaloja.html"", ""vertical"": ""Tourism""}"
Hostal Pampaloja,hola@gmail.com,+56 9 9866 8651 / 55-2244128,Hostal Pampaloja,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,hostalpampaloja.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hostalpampaloja.cl"", ""page"": ""companies/antofagasta/hostal-pampaloja.html"", ""vertical"": ""Tourism""}"
Aurora Cocina,info@auroracocina.cl,(55) 293 7123,Aurora Cocina,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,auroracocina.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""auroracocina.cl"", ""page"": ""companies/antofagasta/aurora-cocina.html"", ""vertical"": ""Restaurants""}"
Aurora Cocina,contacto@auroracocina.cl,(55) 293 7123,Aurora Cocina,Dueño/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,auroracocina.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""auroracocina.cl"", ""page"": ""companies/antofagasta/aurora-cocina.html"", ""vertical"": ""Restaurants""}"
Aurora Cocina,ventas@auroracocina.cl,(55) 293 7123,Aurora Cocina,Gerente de Ventas,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,auroracocina.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""auroracocina.cl"", ""page"": ""companies/antofagasta/aurora-cocina.html"", ""vertical"": ""Restaurants""}"
Aurora Cocina,admin@auroracocina.cl,(55) 293 7123,Aurora Cocina,Administrador/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,auroracocina.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""auroracocina.cl"", ""page"": ""companies/antofagasta/aurora-cocina.html"", ""vertical"": ""Restaurants""}"
Aurora Cocina,hola@auroracocina.cl,(55) 293 7123,Aurora Cocina,Recepción,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,auroracocina.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""auroracocina.cl"", ""page"": ""companies/antofagasta/aurora-cocina.html"", ""vertical"": ""Restaurants""}"
Amares Bistro,info@amares.cl,55 922376 /,Amares Bistro,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,amares.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""amares.cl"", ""page"": ""companies/antofagasta/amares-bistro.html"", ""vertical"": ""Restaurants""}"
Amares Bistro,contacto@amares.cl,55 922376 /,Amares Bistro,Dueño/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,amares.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""amares.cl"", ""page"": ""companies/antofagasta/amares-bistro.html"", ""vertical"": ""Restaurants""}"
Amares Bistro,ventas@amares.cl,55 922376 /,Amares Bistro,Gerente de Ventas,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,amares.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""amares.cl"", ""page"": ""companies/antofagasta/amares-bistro.html"", ""vertical"": ""Restaurants""}"
Amares Bistro,admin@amares.cl,55 922376 /,Amares Bistro,Administrador/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,amares.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""amares.cl"", ""page"": ""companies/antofagasta/amares-bistro.html"", ""vertical"": ""Restaurants""}"
Amares Bistro,hola@amares.cl,55 922376 /,Amares Bistro,Recepción,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,amares.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""amares.cl"", ""page"": ""companies/antofagasta/amares-bistro.html"", ""vertical"": ""Restaurants""}"
Tio Jacinto,info@tiojacinto.cl,+56 55 222 8486,Tio Jacinto,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,No website,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/antofagasta/tio-jacinto.html"", ""vertical"": ""Restaurants""}"
Tio Jacinto,contacto@tiojacinto.cl,+56 55 222 8486,Tio Jacinto,Dueño/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,No website,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/antofagasta/tio-jacinto.html"", ""vertical"": ""Restaurants""}"
Tio Jacinto,ventas@tiojacinto.cl,+56 55 222 8486,Tio Jacinto,Gerente de Ventas,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,No website,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/antofagasta/tio-jacinto.html"", ""vertical"": ""Restaurants""}"
Tio Jacinto,admin@tiojacinto.cl,+56 55 222 8486,Tio Jacinto,Administrador/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,No website,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/antofagasta/tio-jacinto.html"", ""vertical"": ""Restaurants""}"
Tio Jacinto,hola@tiojacinto.cl,+56 55 222 8486,Tio Jacinto,Recepción,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,No website,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/antofagasta/tio-jacinto.html"", ""vertical"": ""Restaurants""}"
Piso 28,info@piso28.cl,+56 9 9212 9988,Piso 28,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,piso28.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""piso28.cl"", ""page"": ""companies/antofagasta/piso-28.html"", ""vertical"": ""Restaurants""}"
Piso 28,contacto@piso28.cl,+56 9 9212 9988,Piso 28,Dueño/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,piso28.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""piso28.cl"", ""page"": ""companies/antofagasta/piso-28.html"", ""vertical"": ""Restaurants""}"
Piso 28,ventas@piso28.cl,+56 9 9212 9988,Piso 28,Gerente de Ventas,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,piso28.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""piso28.cl"", ""page"": ""companies/antofagasta/piso-28.html"", ""vertical"": ""Restaurants""}"
Piso 28,admin@piso28.cl,+56 9 9212 9988,Piso 28,Administrador/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,piso28.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""piso28.cl"", ""page"": ""companies/antofagasta/piso-28.html"", ""vertical"": ""Restaurants""}"
Piso 28,hola@piso28.cl,+56 9 9212 9988,Piso 28,Recepción,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,piso28.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""piso28.cl"", ""page"": ""companies/antofagasta/piso-28.html"", ""vertical"": ""Restaurants""}"
Chile Lindo,info@chilelindorestaurant.cl,+56 9 7234 5673 / +56 9 9619 14551,Chile Lindo,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,chilelindorestaurant.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""chilelindorestaurant.cl"", ""page"": ""companies/antofagasta/chile-lindo.html"", ""vertical"": ""Restaurants""}"
Chile Lindo,contacto@chilelindorestaurant.cl,+56 9 7234 5673 / +56 9 9619 14551,Chile Lindo,Dueño/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,chilelindorestaurant.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""chilelindorestaurant.cl"", ""page"": ""companies/antofagasta/chile-lindo.html"", ""vertical"": ""Restaurants""}"
Chile Lindo,ventas@chilelindorestaurant.cl,+56 9 7234 5673 / +56 9 9619 14551,Chile Lindo,Gerente de Ventas,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,chilelindorestaurant.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""chilelindorestaurant.cl"", ""page"": ""companies/antofagasta/chile-lindo.html"", ""vertical"": ""Restaurants""}"
Chile Lindo,admin@chilelindorestaurant.cl,+56 9 7234 5673 / +56 9 9619 14551,Chile Lindo,Administrador/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,chilelindorestaurant.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""chilelindorestaurant.cl"", ""page"": ""companies/antofagasta/chile-lindo.html"", ""vertical"": ""Restaurants""}"
Chile Lindo,hola@chilelindorestaurant.cl,+56 9 7234 5673 / +56 9 9619 14551,Chile Lindo,Recepción,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,chilelindorestaurant.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""chilelindorestaurant.cl"", ""page"": ""companies/antofagasta/chile-lindo.html"", ""vertical"": ""Restaurants""}"
Don Pollo Don Lomo,info@fresheat.com,+56 9 3225 6091,Don Pollo Don Lomo,Restaurants & Gastronomy — Antofagasta,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,donpollodonlomo.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""donpollodonlomo.cl"", ""page"": ""companies/antofagasta/don-pollo-don-lomo.html"", ""vertical"": ""Restaurants""}"
Don Pollo Don Lomo,contacto@fresheat.com,+56 9 3225 6091,Don Pollo Don Lomo,Dueño/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,donpollodonlomo.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""donpollodonlomo.cl"", ""page"": ""companies/antofagasta/don-pollo-don-lomo.html"", ""vertical"": ""Restaurants""}"
Don Pollo Don Lomo,ventas@fresheat.com,+56 9 3225 6091,Don Pollo Don Lomo,Gerente de Ventas,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,donpollodonlomo.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""donpollodonlomo.cl"", ""page"": ""companies/antofagasta/don-pollo-don-lomo.html"", ""vertical"": ""Restaurants""}"
Don Pollo Don Lomo,admin@fresheat.com,+56 9 3225 6091,Don Pollo Don Lomo,Administrador/a,lead,0,restaurants,Restaurants & Gastronomy,antofagasta,donpollodonlomo.cl,"{""city"": ""antofagasta"", ""niche"": ""restaurants"", ""website"": ""donpollodonlomo.cl"", ""page"": ""companies/antofagasta/don-pollo-don-lomo.html"", ""vertical"": ""Restaurants""}"
